Location of help or hover text,Plain Text,Text with HTML tag
transactions.attributes.humanitarian.hover_text,"If this transaction relates entirely or partially to humanitarian aid, select 'True'. If the entire activity relates to humanitarian aid, you should use the humanitarian flag at the activity level rather than transaction level. See guidance on how to publish humanitarian data","If this transaction relates entirely or partially to humanitarian aid, select 'True'. If the entire activity relates to humanitarian aid, you should use the humanitarian flag at the activity level rather than transaction level. <br><br><a target='_blank' href='https://iatistandard.org/en/guidance/standard-guidance/humanitarian/'>See guidance on how to publish humanitarian data</a>"
transactions.attributes.humanitarian.help_text,,
transactions.sub_elements.transaction_type.hover_text,The type of transaction that best reflects the flow of money in or out of your organisation.,The type of transaction that best reflects the flow of money in or out of your organisation.
transactions.sub_elements.transaction_type.help_text,,
transactions.sub_elements.transaction_type.attributes.transaction_type_code.hover_text,Select the type of transaction that best reflects the flow of money in or out of this activity. Click here for more information on the different types,Select the type that best describes this transaction. <br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/codelists/transactiontype/'>Click here for more information on the different types</a>
transactions.sub_elements.transaction_type.attributes.transaction_type_code.help_text,,
transactions.sub_elements.transaction_date.hover_text,"The date that the transaction was made or, in the case of commitments, agreed. This date cannot be in the future.","The date that the transaction was made or, in the case of commitments, agreed. This date cannot be in the future."
transactions.sub_elements.transaction_date.attributes.date.hover_text,,
transactions.sub_elements.transaction_date.attributes.date.help_text,,
transactions.sub_elements.value.hover_text,"The transaction amount. Transactions can be positive or, in the case of returned funds, negative.","The transaction amount. Transactions can be positive or, in the case of returned funds, negative."
transactions.sub_elements.value.attributes.amount.hover_text,,
transactions.sub_elements.value.attributes.amount.help_text,,
transactions.sub_elements.value.attributes.date.hover_text,The date used to determine the exchange rate for currency conversions.,The date used to determine the exchange rate for currency conversions.
transactions.sub_elements.value.attributes.date.help_text,,
transactions.sub_elements.value.attributes.currency.hover_text,,
transactions.sub_elements.value.attributes.currency.help_text,"If no currency is selected, your default currency is assumed.","If no currency is selected, your default currency is assumed."
transactions.sub_elements.description.hover_text,"A short description of the transaction, for example, describing what it was for.","A short description of the transaction, for example, describing what it was for."
transactions.sub_elements.description.sub_elements.narrative.hover_text,Enter a transaction description.,Enter a transaction description.
transactions.sub_elements.description.sub_elements.narrative.help_text,,
transactions.sub_elements.description.sub_elements.narrative.attributes.language.hover_text,,
transactions.sub_elements.description.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
transactions.sub_elements.provider_organization.hover_text,"The organisation that provided funds for this transaction. If this is your own organisation, enter its details here.","The organisation that provided funds for this transaction. If this is your own organisation, enter its details here."
transactions.sub_elements.provider_organization.help_text,,
transactions.sub_elements.provider_organization.attributes.organization_identifer_code.hover_text,Enter the organisation’s IATI organisation identifier. If you cannot provide an identifier then you must provide the name of the organisation. Click here for information on how to find other organisations' identifiers,Enter the organisation’s IATI organisation identifier. If you cannot provide an identifier then you must provide the name of the organisation.<br><br><a target='_blank' href='https://iatistandard.org/en/guidance/publishing-data/data-quality-and-visualisation/finding-other-organisations-identifiers/'>Click here for information on how to find other organisations' identifiers</a>. 
transactions.sub_elements.provider_organization.attributes.organization_identifer_code.help_text,,
transactions.sub_elements.provider_organization.attributes.provider_activity_id.hover_text,"The provider organisation may have published IATI data on these funds in their own activity. If so, you can enter the unique identifier for that activity here. Click here for further guidance","The provider organisation may have published IATI data on providing these funds in their own activity. If so, you can enter the unique identifier for that activity here.<br><br><a target='_blank' href='https://iatistandard.org/en/guidance/publishing-data/data-quality-and-visualisation/finding-other-organisations-identifiers/'>Click here for further guidance</a>"
transactions.sub_elements.provider_organization.attributes.provider_activity_id.help_text,,
transactions.sub_elements.provider_organization.attributes.type.hover_text,Select the type that best describes the provider organisation.,Select the type that best describes the provider organisation.
transactions.sub_elements.provider_organization.attributes.type.help_text,,
transactions.sub_elements.provider_organization.sub_elements.narrative.hover_text,Enter the name of the organisation. This can be repeated in multiple languages.,Enter the name of the organisation. This can be repeated in multiple languages.
transactions.sub_elements.provider_organization.sub_elements.narrative.help_text,,
transactions.sub_elements.provider_organization.sub_elements.narrative.attributes.language.hover_text,,
transactions.sub_elements.provider_organization.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
transactions.sub_elements.receiver_organization.hover_text,"The organisation that received funds from this transaction. If this is your own organisation, enter its details here.","The organisation that received funds from this transaction. If this is your own organisation, enter its details here."
transactions.sub_elements.receiver_organization.help_text,,
transactions.sub_elements.receiver_organization.attributes.organization_identifier_code.hover_text,Enter the organisation’s IATI organisation identifier. If you cannot provide an identifier then you must provide the name of the organisation. Click here for information on how to find other organisations' identifiers,Enter the organisation’s IATI organisation identifier. If you cannot provide an identifier then you must provide the name of the organisation.<br><br><a target='_blank' href='https://iatistandard.org/en/guidance/publishing-data/data-quality-and-visualisation/finding-other-organisations-identifiers/'>Click here for information on how to find other organisations' identifiers</a>. 
transactions.sub_elements.receiver_organization.attributes.organization_identifier_code.help_text,,
transactions.sub_elements.receiver_organization.attributes.receiver_activity_id.hover_text,"The receiver organisation may have published IATI data on receiving these funds in their own activity. If so, you can enter the unique identifier for that activity here. Click here for further guidance","The receiver organisation may have published IATI data on receiving these funds in their own activity. If so, you can enter the unique identifier for that activity here.<br><br><a target='_blank' href='https://iatistandard.org/en/guidance/publishing-data/data-quality-and-visualisation/finding-other-organisations-identifiers/'>Click here for further guidance</a>"
transactions.sub_elements.receiver_organization.attributes.receiver_activity_id.help_text,,
transactions.sub_elements.receiver_organization.attributes.type.hover_text,Select the type that best describes the receiver organisation.,Select the type that best describes the receiver organisation.
transactions.sub_elements.receiver_organization.attributes.type.help_text,,
transactions.sub_elements.receiver_organization.sub_elements.narrative.hover_text,Enter the name of the organisation. This can be repeated in multiple languages.,Enter the name of the organisation. This can be repeated in multiple languages.
transactions.sub_elements.receiver_organization.sub_elements.narrative.help_text,,
transactions.sub_elements.receiver_organization.sub_elements.narrative.attributes.language.hover_text,,
transactions.sub_elements.receiver_organization.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
transactions.sub_elements.disbursement_channel.hover_text,The channel through which the funds will flow for this transaction.,The channel through which the funds will flow for this transaction.
transactions.sub_elements.disbursement_channel.help_text,,
transactions.sub_elements.disbursement_channel.attributes.disbursement_channel_code.hover_text,Select the best option for how your disbursements are channeled.,Select the best option for how your disbursements are channeled.
transactions.sub_elements.disbursement_channel.attributes.disbursement_channel_code.help_text,,
transactions.sub_elements.sector.hover_text,"Information on the sector that this transaction targets or supports, such as primary education or agriculture. If you choose to define sectors at transaction-level, rather than activity-level, you must provide a sector for every transaction.","Information on the sector that this transaction targets or supports, such as primary education or agriculture. If you choose to define sectors at transaction level, rather than activity level, you must provide a sector for every transaction."
transactions.sub_elements.sector.help_text,,
transactions.sub_elements.sector.attributes.sector_vocabulary.hover_text,"Choose the codelist that you will select sectors from. IATI recommends using the OECD DAC 5-digit sector codelist. If you want to use your organisation’s own list of internal sector classifications, select the option: ‘99 - Reporting Organisation’. ","Choose the codelist that you will select sectors from. IATI recommends using the OECD DAC 5-digit sector codelist. If you want to use your organisation’s own list of internal sector classifications, select the option: ‘99 - Reporting Organisation’. "
transactions.sub_elements.sector.attributes.sector_vocabulary.help_text,,
transactions.sub_elements.sector.attributes.vocabulary_uri.hover_text,"If you have chosen to use an internal sector classification codelist, provide a link to where this is defined.","If you have chosen to use an internal sector classification codelist, provide a link to where this is defined."
transactions.sub_elements.sector.attributes.vocabulary_uri.help_text,,
transactions.sub_elements.sector.attributes.code.hover_text,Select the sector that the transaction’s funds are supporting. You must only choose one sector from each list that you use.,Select the sector that the transaction’s funds are supporting. You must only choose one sector from each list that you use.
transactions.sub_elements.sector.attributes.code.help_text,,
transactions.sub_elements.sector.attributes.text.hover_text,Select the sector that the transaction’s funds are supporting. You must only choose one sector from each list that you use.,Select the sector that the transaction’s funds are supporting. You must only choose one sector from each list that you use.
transactions.sub_elements.sector.attributes.text.help_text,,
transactions.sub_elements.sector.attributes.category_code.hover_text,Select the sector that the transaction’s funds are supporting. You must only choose one sector from each list that you use.,Select the sector that the transaction’s funds are supporting. You must only choose one sector from each list that you use.
transactions.sub_elements.sector.attributes.category_code.help_text,,
transactions.sub_elements.sector.attributes.sdg_goal.hover_text,Select the sector that the transaction’s funds are supporting. You must only choose one sector from each list that you use.,Select the sector that the transaction’s funds are supporting. You must only choose one sector from each list that you use.
transactions.sub_elements.sector.attributes.sdg_goal.help_text,,
transactions.sub_elements.sector.attributes.sdg_target.hover_text,Select the sector that the transaction’s funds are supporting. You must only choose one sector from each list that you use.,Select the sector that the transaction’s funds are supporting. You must only choose one sector from each list that you use.
transactions.sub_elements.sector.attributes.sdg_target.help_text,,
transactions.sub_elements.sector.sub_elements.narrative.hover_text,"If you have chosen a sector from an internal sector classification codelist, please provide a description of this sector.","If you have chosen a sector from an internal sector classification codelist, please provide a description of this sector."
transactions.sub_elements.sector.sub_elements.narrative.help_text,,
transactions.sub_elements.sector.sub_elements.narrative.attributes.language.hover_text,,
transactions.sub_elements.sector.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
transactions.sub_elements.recipient_country.hover_text,"A country that will benefit from this transaction. If a specific country is not known, or if multiple countries are relevant, a region can be specified instead.","A country that will benefit from this transaction. If a specific country is not known, or if multiple countries are relevant, a region can be specified instead."
transactions.sub_elements.recipient_country.help_text,,
transactions.sub_elements.recipient_country.attributes.country_code.hover_text,Select a country benefitting from this activity.,Select a country benefitting from this transaction's funds.
transactions.sub_elements.recipient_country.attributes.country_code.help_text,,
transactions.sub_elements.recipient_country.sub_elements.narrative.hover_text,Add an optional name or description of the country benefitting from the activity.,Add an optional name or description of the country benefitting from the activity.
transactions.sub_elements.recipient_country.sub_elements.narrative.help_text,,
transactions.sub_elements.recipient_country.sub_elements.narrative.attributes.language.hover_text,,
transactions.sub_elements.recipient_country.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
transactions.sub_elements.recipient_region.hover_text,"If you cannot identify a specific country benefitting from this transaction, you can provide a region instead.","If you cannot identify a specific country benefitting from this transaction, you can provide a region instead."
transactions.sub_elements.recipient_region.help_text,,
transactions.sub_elements.recipient_region.attributes.region_vocabulary.hover_text,"You can select regions from the 'OECD DAC', 'UN' or your own internal codelist. IATI recommends that you use the 'OECD DAC' codelist. If you do not choose an option, then the codelist 'OECD DAC' is assumed. Click here for more information on these codelists","You can select regions from the 'OECD DAC', 'UN' or your own internal codelist. IATI recommends that you use the 'OECD DAC' codelist. If you do not choose an option, then the codelist 'OECD DAC' is assumed.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/codelists/regionvocabulary/'>Click here for more information on these codelists</a>."
transactions.sub_elements.recipient_region.attributes.region_vocabulary.help_text,,
transactions.sub_elements.recipient_region.attributes.region_code.hover_text,"Select the region benefitting from this activity. If vocabulary ‘99 - Reporting Organisation' has been selected, enter a code from your own region list.","Select the region benefitting from this activity. If vocabulary ‘99 - Reporting Organisation' has been selected, enter a code from your own region list."
transactions.sub_elements.recipient_region.attributes.region_code.help_text,,
transactions.sub_elements.recipient_region.attributes.custom_code.hover_text,"Select the region benefitting from this activity. If vocabulary ‘99 - Reporting Organisation' has been selected, enter a code from your own region list.","Select the region benefitting from this activity. If vocabulary ‘99 - Reporting Organisation' has been selected, enter a code from your own region list."
transactions.sub_elements.recipient_region.attributes.custom_code.help_text,,
transactions.sub_elements.recipient_region.attributes.vocabulary_uri.hover_text,"If you have selected the vocabulary ‘99 - Reporting Organisation’, provide a link to where this internal list is defined.","If you have selected the vocabulary ‘99 - Reporting Organisation’, provide a link to where this internal list is defined."
transactions.sub_elements.recipient_region.attributes.vocabulary_uri.help_text,,
transactions.sub_elements.recipient_region.sub_elements.narrative.hover_text,Add an optional name or description of the region benefitting from the activity.,Add an optional name or description of the region benefitting from the activity.
transactions.sub_elements.recipient_region.sub_elements.narrative.help_text,,
transactions.sub_elements.recipient_region.sub_elements.narrative.attributes.language.hover_text,,
transactions.sub_elements.recipient_region.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
transactions.sub_elements.flow_type.hover_text,"Flow type is a way to categorise financial flows. It distinguishes between official development assistance (ODA), other official flows (OOF), or several types of private flows. Click here for more information","Flow type is a way to categorise financial flows. It distinguishes between official development assistance (ODA), other official flows (OOF), or several types of private flows.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/codelists/flowtype/'>Click here for more information</a>"
transactions.sub_elements.flow_type.help_text,,
transactions.sub_elements.flow_type.attributes.flow_type.hover_text,"Select a flow type, if applicable to this transaction. This is only needed if it is different to the default flow type of the activity as a whole.","Select a flow type, if applicable to this transaction. This is only needed if it is different to the default flow type of the activity as a whole."
transactions.sub_elements.flow_type.attributes.flow_type.help_text,,
transactions.sub_elements.finance_type.hover_text,"The financial instrument that is being used for this activity. For example, financing is most commonly delivered as a grant or a loan. Click here for more information","The financial instrument that is being used for this activity. For example, financing is most commonly delivered as a grant or a loan.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/codelists/financetype/'>Click here for more information</a>"
transactions.sub_elements.finance_type.help_text,,
transactions.sub_elements.finance_type.attributes.finance_type.hover_text,"Select a finance type, if applicable to this transaction. This is only needed if it is different to the default finance type of the activity as a whole.","Select a finance type, if applicable to this transaction. This is only needed if it is different to the default finance type of the activity as a whole."
transactions.sub_elements.finance_type.attributes.finance_type.help_text,,
transactions.sub_elements.aid_type.hover_text,"The type of aid being supplied (project-type intervention, budget support, debt relief, etc.). Click here for more information","The type of aid being supplied (project-type intervention, budget support, debt relief, etc.).<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/codelists/aidtype/'>Click here for more information</a>"
transactions.sub_elements.aid_type.help_text,,
transactions.sub_elements.aid_type.attributes.aid_type_vocabulary.hover_text,"Select a list that includes the aid type for your transaction, if applicable. Otherwise leave this blank.","Select a list that includes the aid type for your transaction, if applicable."
transactions.sub_elements.aid_type.attributes.aid_type_vocabulary.help_text,,
transactions.sub_elements.aid_type.attributes.aid_type_code.hover_text,"Select an aid type, if applicable to this transaction. This is only needed if it is different to the default aid type of the activity as a whole.","Select an aid type, if applicable to this transaction. This is only needed if it is different to the default aid type of the activity as a whole."
transactions.sub_elements.aid_type.attributes.aid_type_code.help_text,,
transactions.sub_elements.aid_type.attributes.earmarking_category.hover_text,"Select an aid type, if applicable to this transaction. This is only needed if it is different to the default aid type of the activity as a whole.","Select an aid type, if applicable to this transaction. This is only needed if it is different to the default aid type of the activity as a whole."
transactions.sub_elements.aid_type.attributes.earmarking_category.help_text,,
transactions.sub_elements.aid_type.attributes.earmarking_modality.hover_text,"Select an aid type, if applicable to this transaction. This is only needed if it is different to the default aid type of the activity as a whole.","Select an aid type, if applicable to this transaction. This is only needed if it is different to the default aid type of the activity as a whole."
transactions.sub_elements.aid_type.attributes.earmarking_modality.help_text,,
transactions.sub_elements.aid_type.attributes.cash_and_voucher_modalities.hover_text,"Select an aid type, if applicable to this transaction. This is only needed if it is different to the default aid type of the activity as a whole.","Select an aid type, if applicable to this transaction. This is only needed if it is different to the default aid type of the activity as a whole."
transactions.sub_elements.aid_type.attributes.cash_and_voucher_modalities.help_text,,
transactions.sub_elements.tied_status.hover_text,"Whether funding is untied, tied, or partially tied. Tied funding must be spent on goods or services procured from a particular country or group of countries. Click here for more information","Whether funding is untied, tied, or partially tied. Tied funding must be spent on goods or services procured from a particular country or group of countries.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/codelists/tiedstatus/'>Click here for more information</a>"
transactions.sub_elements.tied_status.help_text,,
transactions.sub_elements.tied_status.attributes.tied_status_code.hover_text,"Select a tied status, if applicable to this transaction. This is only needed if it is different to the default tied status of the activity as a whole.","Select a tied status, if applicable to this transaction. This is only needed if it is different to the default tied status of the activity as a whole."
transactions.sub_elements.tied_status.attributes.tied_status_code.help_text,,
